number,category,questionText,questionCode,answerText,answerCode,mdnLink,timesSkipped,timesEdited,lastUpdated
478,Promises,"What does  <code>if you had a promise called prom, how would you use then and catch to handle a success or failure with parameters called ""resolvedValue"" and ""rejectionReason""</code> do?",,prom.then((resolvedValue) =>{ console.log(resolvedValue); }).catch((rejectionReason) => { console.log(rejectionReason); });,,"https://www.google.com/search?q=if you had a promise called prom, how would you use then and catch to handle a success or failure with parameters called ""resolvedValue"" and ""rejectionReason""",,,
479,Promises,What does  <code>This process of chaining promises together is called....</code> do?,,composition,,https://www.google.com/search?q=This process of chaining promises together is called....,,,
480,Promises,What does  <code>what is composition?</code> do?,,the process of chaining promises together sequentially,,https://www.google.com/search?q=what is composition?,,,
481,Promises,What does  <code>What does promise.all do?</code> do?,,runs all the specified promises at one time,,https://www.google.com/search?q=What does promise.all do?,,,
482,Promises,What does  <code>what does promise.race do?</code> do?,,its like promise.all except it returns as soon as the first promise is completed,,https://www.google.com/search?q=what does promise.race do?,,,
483,Promises,What does  <code>how would we refactor this code to make sure the promises are chained instead of nested?returnsFirstPromise() .then((firstResolveVal) => { returnsSecondValue(firstResolveVal);.then((secondResolveVal) => { console.log(secondResolveVal); }); });</code> do?,,returnsFirstPromise().then((firstResolveVal) => { return returnsSecondValue(firstResolveVal); }).then((someVal) => { console.log(someVal); });,,https://www.google.com/search?q=how would we refactor this code to make sure the promises are chained instead of nested?returnsFirstPromise() .then((firstResolveVal) => { returnsSecondValue(firstResolveVal);.then((secondResolveVal) => { console.log(secondResolveVal); }); });,,,
484,Promises,What does  <code>what does promise.all do?</code> do?,,Promise.all() accepts an array of promises as its argument and returns a single promise.,,https://www.google.com/search?q=what does promise.all do?,,,
485,Promises,"What does  <code>when using promise. all, If every promise in the argument array resolves, what will happen?</code> do?",,the single promise returned from Promise.all() will resolve with an array containing the resolve value from each promise in the argument array.,,"https://www.google.com/search?q=when using promise. all, If every promise in the argument array resolves, what will happen?",,,
486,Promises,"What does  <code>when using promise. all, If any promise from the argument array rejects, what will happen?</code> do?",,"If any promise from the argument array rejects, the single promise returned from Promise.all() will immediately reject with the reason that promise rejected. This behavior is sometimes referred to as failing fast.",,"https://www.google.com/search?q=when using promise. all, If any promise from the argument array rejects, what will happen?",,,
487,Promises,What does  <code>How do you define a promise called myPromise?</code> do?,,"let myPromise = new Promise(function(resolve, reject);",,https://www.google.com/search?q=How do you define a promise called myPromise?,,,
488,Promises,What does  <code>How to ensure that the computer will get the correct callback function when you have defined handleSuccess and handleFailure and then have used them as parameters in promise.then?</code> do?,,"you must put the handleResolve first into promise.then, before handleReject (the first one will always be used as resolve)",,https://www.google.com/search?q=How to ensure that the computer will get the correct callback function when you have defined handleSuccess and handleFailure and then have used them as parameters in promise.then?,,,
489,Modules,What does  <code>what are javascript modules?</code> do?,,JavaScript modules are reusable pieces of code that can be exported from one program and imported for use in another program.,,https://www.google.com/search?q=what are javascript modules?,,,
490,Modules,What does  <code>what are the 3 steps used in exporting modules?</code> do?,,Create an object to represent the module.Add properties or methods to the module object.Export the module with module.exports.,,https://www.google.com/search?q=what are the 3 steps used in exporting modules?,,,
491,Modules,"What does  <code>If you wanted to make a module named airplane with a property of myAirplane that has the value of StarJet using export, what would you do??</code> do?",,"let Airplane = {};Airplane.myAirplane = ""StarJet"";module.exports = Airplane;",,"https://www.google.com/search?q=If you wanted to make a module named airplane with a property of myAirplane that has the value of StarJet using export, what would you do??",,,
492,Modules,What does  <code>what does require() do?</code> do?,,require() takes a file path argument pointing to the original module file.,,https://www.google.com/search?q=what does require() do?,,,
493,Modules,What does  <code>How would we use require to import a module menu from a file called menu.js</code> do?,,const Menu = require('./menu.js');,,https://www.google.com/search?q=How would we use require to import a module menu from a file called menu.js,,,
494,Modules,"What does  <code>when importing a module using require(), do we need to make the variable name the same as the module?</code> do?",,no,,"https://www.google.com/search?q=when importing a module using require(), do we need to make the variable name the same as the module?",,,
495,Modules,What does  <code>what goes inside the brackets after the require keyword?</code> do?,,the name of the file where the module is kept,,https://www.google.com/search?q=what goes inside the brackets after the require keyword?,,,
496,Modules,"What does  <code>what is the ""default export"" syntax for an object called menu?</code> do?",,let Menu = {}; export default Menu;,,"https://www.google.com/search?q=what is the ""default export"" syntax for an object called menu?",,,
497,Modules,What does  <code>if you wanted to import an object that you want to store in a variable named menu from another JS file called menu?</code> do?,,import Menu from './menu';,,https://www.google.com/search?q=if you wanted to import an object that you want to store in a variable named menu from another JS file called menu?,,,
498,Modules,What does  <code>what is the different use between import and require?</code> do?,,"require will pull all methods, whereas import will just pull the one we need",,https://www.google.com/search?q=what is the different use between import and require?,,,
499,Modules,What does  <code>what do named exports do?</code> do?,,named exports allow us to export data through the use of variables.,,https://www.google.com/search?q=what do named exports do?,,,
500,Modules,"What does  <code>if you had the following code, how would you export specialty and isVegetarian using named exports?let specialty = '';function isVegetarian() {};function isLowSodium() {};</code> do?",,"export { specialty, isVegetarian };",,"https://www.google.com/search?q=if you had the following code, how would you export specialty and isVegetarian using named exports?let specialty = '';function isVegetarian() {};function isLowSodium() {};",,,
501,Modules,"What does  <code>using named imports, how would you import two variables called specialty and isVegetarian from a file called menu?</code> do?",,"import { specialty, isVegetarian } from './menu';",,"https://www.google.com/search?q=using named imports, how would you import two variables called specialty and isVegetarian from a file called menu?",,,
502,Modules,What does  <code>how can we export a named export as soon as it is declared?</code> do?,,by placing the keyword export in front of variable declarations.,,https://www.google.com/search?q=how can we export a named export as soon as it is declared?,,,
503,Modules,What does  <code>how can we use the as keyword to change the name of named exports when we export them?</code> do?,,"when we do export {var1, var 2, var 3 }; we could do export {var1 as _____, var2 as _____, var 3 as _____};",,https://www.google.com/search?q=how can we use the as keyword to change the name of named exports when we export them?,,,
504,Misc,"What does  <code>in a list array, what number is the first item?</code> do?",,0,,"https://www.google.com/search?q=in a list array, what number is the first item?",,,
505,Misc,What does  <code>what is an array</code> do?,,makes a list of items in order from 0-n,,https://www.google.com/search?q=what is an array,,,
506,Modules,"What does  <code>if you want to use named exports to export the following variables, changing the names using the as keyword, what would you do? specialty = chefsSpecialisVegetarian = isVeg</code> do?",,"export { specialty as chefsSpecial, isVegetarian as isVeg}",,"https://www.google.com/search?q=if you want to use named exports to export the following variables, changing the names using the as keyword, what would you do? specialty = chefsSpecialisVegetarian = isVeg",,,
507,Modules,"What does  <code>if an object was not aliased when exported, can it be done when imported? how?</code> do?",,the same way we would when exporting______ as _________,,"https://www.google.com/search?q=if an object was not aliased when exported, can it be done when imported? how?",,,
508,Modules,"What does  <code>if an object isLowSodium was not aliased upon exporting, but we want to change it to saltFree when importing it, what would we do?</code> do?",,import {isLowSodium as saltFree} from 'Menu';,,"https://www.google.com/search?q=if an object isLowSodium was not aliased upon exporting, but we want to change it to saltFree when importing it, what would we do?",,,
509,,What does  <code></code> do?,,,,https://www.google.com/search?q=,,,
510,Misc,What does  <code>number in javascript</code> do?,,a literal number,,https://www.google.com/search?q=number in javascript,,,
511,Misc,What does  <code>javascript string</code> do?,,"a series of characters like ""john doe""",,https://www.google.com/search?q=javascript string,,,
512,Misc,What does  <code>boolean</code> do?,,A single value of either TRUE or FALSE,,https://www.google.com/search?q=boolean,,,
513,Misc,What does  <code>how do you ask if 3 equals 3 in a boolean?</code> do?,,3 ==== 3,,https://www.google.com/search?q=how do you ask if 3 equals 3 in a boolean?,,,
514,Misc,What does  <code>how do you ask if 3 doesn't equal 3 in a boolean?</code> do?,,3 !== 3,,https://www.google.com/search?q=how do you ask if 3 doesn't equal 3 in a boolean?,,,
515,Misc,What does  <code>what is the rule of what variables can start with?</code> do?,,1. it needs to start with a letter or a dollar sign. or an underscore,,https://www.google.com/search?q=what is the rule of what variables can start with?,,,
516,Misc,What does  <code>how do you change a string into a number in the console</code> do?,,number(variable name),,https://www.google.com/search?q=how do you change a string into a number in the console,,,
517,Misc,What does  <code>how to make a popup come on the screen with a message?</code> do?,,using alert,,https://www.google.com/search?q=how to make a popup come on the screen with a message?,,,
518,Misc,What does  <code>how do you make a popup come up on the screen asking the user to input information?</code> do?,,using prompt,,https://www.google.com/search?q=how do you make a popup come up on the screen asking the user to input information?,,,
519,Misc,What does  <code>what does a semicolon mean in javascript</code> do?,,the end of an expression,,https://www.google.com/search?q=what does a semicolon mean in javascript,,,
520,Misc,What does  <code>what do you use for assigning a variable?</code> do?,,var ______ = ________,,https://www.google.com/search?q=what do you use for assigning a variable?,,,
521,Misc,What does  <code>what do you use for or in an else if conditional?</code> do?,,| |,,https://www.google.com/search?q=what do you use for or in an else if conditional?,,,
522,Misc,What does  <code>what do you use for and in an else if conditional?</code> do?,,&&,,https://www.google.com/search?q=what do you use for and in an else if conditional?,,,
523,Misc,What does  <code>when would you use && in a conditional?</code> do?,,"for if they had to put in 2 variables, for example, firstName and lastName",,https://www.google.com/search?q=when would you use && in a conditional?,,,
524,Misc,"What does  <code>if you want the console to print ""hi bob"" if the name variable is NOT bob, what do you input?</code> do?",,"if (!(name ==== ""bob"") {alert(""hi bob"")}",,"https://www.google.com/search?q=if you want the console to print ""hi bob"" if the name variable is NOT bob, what do you input?",,,
525,Misc,What does  <code>where do you put the script tags for the javascript file within the html file?</code> do?,,at the bottom of the body,,https://www.google.com/search?q=where do you put the script tags for the javascript file within the html file?,,,
526,Misc,What does  <code>what is a function</code> do?,,A piece of code that you can easily call over and over again that performs an action.,,https://www.google.com/search?q=what is a function,,,
527,Misc,"What does  <code>how to create a function called sayHello that logs ""hello""?</code> do?",,"function sayHello() {console.log(""Hello!"");}",,"https://www.google.com/search?q=how to create a function called sayHello that logs ""hello""?",,,
528,Misc,What does  <code>anonymous function</code> do?,,a function without a name,,https://www.google.com/search?q=anonymous function,,,
529,Misc,What does  <code>when can you put return in a function twice?</code> do?,,if you use an if else statement,,https://www.google.com/search?q=when can you put return in a function twice?,,,
530,Misc,What does  <code>what kind of brackets do we use in making arrays</code> do?,,[],,https://www.google.com/search?q=what kind of brackets do we use in making arrays,,,
531,Misc,What does  <code>what can arrays hold</code> do?,,"strings, numbers, booleans, functions",,https://www.google.com/search?q=what can arrays hold,,,
532,Misc,What does  <code>boolean</code> do?,,true and false,,https://www.google.com/search?q=boolean,,,
533,Misc,What does  <code>what does list.shift do in an array named list?</code> do?,,removes the first list item from the array,,https://www.google.com/search?q=what does list.shift do in an array named list?,,,
534,Misc,What does  <code>what does list.pop do in an array named list?</code> do?,,removes the last list item from the array,,https://www.google.com/search?q=what does list.pop do in an array named list?,,,
535,Misc,"What does  <code>what would list.push(""elephant""); do to an array named list?</code> do?",,add elephant as the last item,,"https://www.google.com/search?q=what would list.push(""elephant""); do to an array named list?",,,
536,Misc,"What does  <code>if cat is the first list item in an array, it means that it has an _______ of 0</code> do?",,index,,"https://www.google.com/search?q=if cat is the first list item in an array, it means that it has an _______ of 0",,,
537,Misc,What does  <code>what would list.sort do to an array named list?</code> do?,,sort the list items alphabetically,,https://www.google.com/search?q=what would list.sort do to an array named list?,,,
538,Misc,"What does  <code>what would you do if you wanted to make a new list called (myNewList) from an old list named (myList), adding the item ""monkey"" to the array</code> do?",,"var myNewList = myList.concat([""monkey""]);",,"https://www.google.com/search?q=what would you do if you wanted to make a new list called (myNewList) from an old list named (myList), adding the item ""monkey"" to the array",,,
539,Misc,What does  <code>what does list.reverse do in an array named list?</code> do?,,orders the list in opposite of alphabetical order,,https://www.google.com/search?q=what does list.reverse do in an array named list?,,,
540,Misc,"What does  <code>what would list.splice(0, 1); do to an array with the items of [""Banana"", ""Apples"", ""Oranges"", ""Blueberries""];?</code> do?",,remove apples,,"https://www.google.com/search?q=what would list.splice(0, 1); do to an array with the items of [""Banana"", ""Apples"", ""Oranges"", ""Blueberries""];?",,,
541,Misc,What does  <code>what kind of brackets do you use for objects</code> do?,,curly,,https://www.google.com/search?q=what kind of brackets do you use for objects,,,
542,Misc,What does  <code>how do you add an item to an object named user that says that his favourite food is spinach?</code> do?,,"user.favouriteFood = ""spinach"";",,https://www.google.com/search?q=how do you add an item to an object named user that says that his favourite food is spinach?,,,
543,Misc,What does  <code>what is the purpose of data structures such as arrays and objects?</code> do?,,to organize groups of items,,https://www.google.com/search?q=what is the purpose of data structures such as arrays and objects?,,,
544,Misc,What does  <code>can you put an array in an object?</code> do?,,yes,,https://www.google.com/search?q=can you put an array in an object?,,,
545,Misc,What does  <code>can you put an object in an array?</code> do?,,yes!,,https://www.google.com/search?q=can you put an object in an array?,,,
546,Misc,"What does  <code>if you wanted to get the spell ""shazam"", which is the second item in the list, from inside the spells array which is inside the user object, what would you do?</code> do?",,user.spells[1];,,"https://www.google.com/search?q=if you wanted to get the spell ""shazam"", which is the second item in the list, from inside the spells array which is inside the user object, what would you do?",,,
547,Misc,What does  <code>method</code> do?,,a function inside an object,,https://www.google.com/search?q=method,,,
548,Functions,What does  <code>What is hoisting?</code> do?,,allows access to function declarations before they're defined in the program - not best practice,,https://www.google.com/search?q=What is hoisting?,,,
549,Functions,What does  <code>What is the syntax for an arrow function called sum with two arguments</code> do?,,"const sum = (firstParam, secondParam) => {}",,https://www.google.com/search?q=What is the syntax for an arrow function called sum with two arguments,,,
550,Functions,What does  <code>What is the syntax for an arrow function called printHello with two arguments?</code> do?,,const printHello = () => {},,https://www.google.com/search?q=What is the syntax for an arrow function called printHello with two arguments?,,,
551,Functions,What does  <code>What is the syntax for an arrow function called checkWeight with one argument?</code> do?,,const checkWeight = weight => {},,https://www.google.com/search?q=What is the syntax for an arrow function called checkWeight with one argument?,,,
552,Functions,What does  <code>What is the syntax for a concise arrow function called multiply that multiplies arguments a & b?</code> do?,,"const multiply = (a, b) => a * b;",,https://www.google.com/search?q=What is the syntax for a concise arrow function called multiply that multiplies arguments a & b?,,,
553,Functions,What does  <code>When can you use a concise arrow function?</code> do?,,if there is ONE expression in the function body,,https://www.google.com/search?q=When can you use a concise arrow function?,,,
554,Functions,What does  <code>what do concise arrow functions remove?</code> do?,,the word return,,https://www.google.com/search?q=what do concise arrow functions remove?,,,
555,Functions,What does  <code>what would be the different syntax for a named vs an anonymous function called rocketToMars?</code> do?,,named: function rocketToMars() {anonymous: const rocketToMars = function() {,,https://www.google.com/search?q=what would be the different syntax for a named vs an anonymous function called rocketToMars?,,,
556,Functions,What does  <code>are function declarations or function expressions hoisted?</code> do?,,declarations,,https://www.google.com/search?q=are function declarations or function expressions hoisted?,,,
557,Functions,What does  <code>what does the return keyword do</code> do?,,ends function execution and returns the specified value to the location where it was called.,,https://www.google.com/search?q=what does the return keyword do,,,
558,Functions,What does  <code>what is the syntax for calling a function?</code> do?,,function name(parameters);,,https://www.google.com/search?q=what is the syntax for calling a function?,,,
559,Functions,What does  <code>where can a value or function with global scope be used?</code> do?,,a value/function in the global scope can be used anywhere in the entire program,,https://www.google.com/search?q=where can a value or function with global scope be used?,,,
560,Functions,What does  <code>what kind of scope do const and let have?</code> do?,,local scope,,https://www.google.com/search?q=what kind of scope do const and let have?,,,
561,Functions,What does  <code>what does it mean if a function or variable has local scope?</code> do?,,they are only accessible in their block or nested blocks.,,https://www.google.com/search?q=what does it mean if a function or variable has local scope?,,,
562,Functions,What does  <code>what is a callback function?</code> do?,,a function that is passed into another function as an argument and then is invoked during the execution of that higher order function,,https://www.google.com/search?q=what is a callback function?,,,
563,Functions,What does  <code>what is a higher order function?</code> do?,,"A ""higher-order function"" is a function that accepts functions as parameters and/or returns a function.",,https://www.google.com/search?q=what is a higher order function?,,,
564,Arrays & Strings,What does  <code>How would you remove the last element from an array?</code> do?,,array.pop();,,https://www.google.com/search?q=How would you remove the last element from an array?,,,
565,Arrays & Strings,What does  <code>How would you remove the first element from an array?</code> do?,,let removed = array.shift( );- takes no arguments- shift is just like pop( ) only it applies to the first element instead of last,,https://www.google.com/search?q=How would you remove the first element from an array?,,,
566,Arrays & Strings,What does  <code>How would you add a new element to the front of an array?</code> do?,,array.unshift('new_first_element');,,https://www.google.com/search?q=How would you add a new element to the front of an array?,,,
567,Arrays & Strings,What does  <code>Find the index of a particular array element.</code> do?,,array.indexOf('value');,,https://www.google.com/search?q=Find the index of a particular array element.,,,
568,Arrays & Strings,"What does  <code>How would you remove the 2nd, 3rd and 4th elements in an array?</code> do?",,"array.splice(1, 3); // remove 3 elements beginning at index 1NOTE:-- slice = end is NOT inclusive + DOESN'T CHANGE orig-- splice = second arg is number of elements + CHANGES orig",,"https://www.google.com/search?q=How would you remove the 2nd, 3rd and 4th elements in an array?",,,
569,Arrays & Strings,What does  <code>T or F: The only way to remove middle elements without leaving holes in the array is to use splice.</code> do?,,TRUE,,https://www.google.com/search?q=T or F: The only way to remove middle elements without leaving holes in the array is to use splice.,,,
570,Arrays & Strings,What does  <code>How would you remove the 5th element of an array that has 10 elements?</code> do?,,"array.splice(4,1)",,https://www.google.com/search?q=How would you remove the 5th element of an array that has 10 elements?,,,
571,Arrays & Strings,What does  <code>Shallow copy an array.</code> do?,,let copy = array.slice(),,https://www.google.com/search?q=Shallow copy an array.,,,
572,Arrays & Strings,What does  <code>Sort an array of numbers in ascending numerical order.</code> do?,,"numbers.sort((a, b) => {return a - b})",,https://www.google.com/search?q=Sort an array of numbers in ascending numerical order.,,,
573,Arrays & Strings,What does  <code>How would you access the last element in an array?</code> do?,,array[array.length -1]- note array.pop( ) -- removes element,,https://www.google.com/search?q=How would you access the last element in an array?,,,
574,???,What does  <code>[ES6] How would you check if a particular element/value is present within an array?</code> do?,,"array.includes(""foo"");",,https://www.google.com/search?q=[ES6] How would you check if a particular element/value is present within an array?,,,
575,Arrays & Strings,What does  <code>How would you access the second-to-last element in an array?</code> do?,,my_array[my_array.length -2],,https://www.google.com/search?q=How would you access the second-to-last element in an array?,,,
576,Arrays & Strings,"What does  <code>How would you create a new array consisting of the 7th, 8th and 9th elements of an existing array, without changing original array?</code> do?",,"new_array = old_array.slice(6, 9)",,"https://www.google.com/search?q=How would you create a new array consisting of the 7th, 8th and 9th elements of an existing array, without changing original array?",,,
577,Arrays & Strings,What does  <code>How would you create a new array from an old array beginning with the 3rd element in that old array?</code> do?,,new_array = old_array.slice(2),,https://www.google.com/search?q=How would you create a new array from an old array beginning with the 3rd element in that old array?,,,
578,Arrays & Strings,What does  <code>How would you find the maximum/minimum value in an array?</code> do?,,- No built-in functions for this- must sort then use first/last element,,https://www.google.com/search?q=How would you find the maximum/minimum value in an array?,,,
579,Arrays & Strings,What does  <code>How would you use the map() method to apply a function to every element in an array?</code> do?,,Use the filter( ) method to only return grades from an array that were greater than 50.,,https://www.google.com/search?q=How would you use the map() method to apply a function to every element in an array?,,,
580,Arrays & Strings,What does  <code>How would you convert a number with a bunch of decimals to a 2-digit floating point number?</code> do?,,myNum.toFixed(2);,,https://www.google.com/search?q=How would you convert a number with a bunch of decimals to a 2-digit floating point number?,,,
581,Arrays & Strings,What does  <code>How would you create an array from a set?</code> do?,,new_array = Array.from(my_set),,https://www.google.com/search?q=How would you create an array from a set?,,,
582,Arrays & Strings,What does  <code>What are the two differences between: array.slice( ) and array.splice( )</code> do?,,"- slice(start, end): doesn't change original array and end is exlcusive- splice(start, quantity): does change original",,https://www.google.com/search?q=What are the two differences between: array.slice( ) and array.splice( ),,,
583,Arrays & Strings,What does  <code>How would you convert the variable foo to a string?</code> do?,,foo.toString();,,https://www.google.com/search?q=How would you convert the variable foo to a string?,,,
584,Arrays & Strings,What does  <code>How would you convert a string variable to an integer?</code> do?,,parseInt('55');,,https://www.google.com/search?q=How would you convert a string variable to an integer?,,,
585,Arrays & Strings,What does  <code>How would you convert a string variable to a float?</code> do?,,parseFloat('55.99');,,https://www.google.com/search?q=How would you convert a string variable to a float?,,,
586,Arrays & Strings,What does  <code>How would you determine the position of the first occurrence of a substring within a string?</code> do?,,my_string.indexOf('sub_str' ),,https://www.google.com/search?q=How would you determine the position of the first occurrence of a substring within a string?,,,
587,Arrays & Strings,What does  <code>How would you determine the position of the last occurrence of a substring within a string?</code> do?,,my_string.lastIndexOf('sub_str' ),,https://www.google.com/search?q=How would you determine the position of the last occurrence of a substring within a string?,,,
588,Arrays & Strings,"What does  <code>What is the output of the following code:my_string = ""XXX"";my_string.indexOf('XX', 1);</code> do?",,1- function returns the index of the first character in the string- the second parameter is the starting point [earliest possible solution] for the search,,"https://www.google.com/search?q=What is the output of the following code:my_string = ""XXX"";my_string.indexOf('XX', 1);",,,
589,Arrays & Strings,"What does  <code>What is the output of the following code:my_string = ""XXX"";my_string.lastIndexOf('XX', 0);</code> do?",,0- function returns the index of the last character in the string when parsing from the end --> beginning (right-to-left)- the second parameter is the starting point [earliest possible solution] for the search*,,"https://www.google.com/search?q=What is the output of the following code:my_string = ""XXX"";my_string.lastIndexOf('XX', 0);",,,
590,Arrays & Strings,What does  <code>What are the 3 ways that you can extract a substring from a larger string?</code> do?,,"slice(start, end)substring(start, end)substr(start, length)-- end is not inclusive",,https://www.google.com/search?q=What are the 3 ways that you can extract a substring from a larger string?,,,
591,Arrays & Strings,"What does  <code>What does the following code output:my_string = ""hollerback"";my_string.slice(6);my_string.substring(6);my_string.substr(6);</code> do?",,back' - start is inclusive,,"https://www.google.com/search?q=What does the following code output:my_string = ""hollerback"";my_string.slice(6);my_string.substring(6);my_string.substr(6);",,,
592,Arrays & Strings,What does  <code>How would you replace the first instance of a substring in a string?</code> do?,,"my_string.replace(""old"", ""new')",,https://www.google.com/search?q=How would you replace the first instance of a substring in a string?,,,
593,Arrays & Strings,What does  <code>How would you replace every instance of a substring in a string?</code> do?,,"my_string.replace(/old/g, ""new"")",,https://www.google.com/search?q=How would you replace every instance of a substring in a string?,,,
594,Arrays & Strings,What does  <code>How would you convert every letter in a string to uppercase?</code> do?,,my_text.toUpperCase( ),,https://www.google.com/search?q=How would you convert every letter in a string to uppercase?,,,
595,Arrays & Strings,What does  <code>How would you convert every letter in a string to lowercase?</code> do?,,my_string'.toLowerCase( ),,https://www.google.com/search?q=How would you convert every letter in a string to lowercase?,,,
596,Arrays & Strings,What does  <code>How would you remove the white space from both sides of a string?</code> do?,,my_string.trim( ),,https://www.google.com/search?q=How would you remove the white space from both sides of a string?,,,
597,Arrays & Strings,What does  <code>What are the two methods for extracting characters from a string?</code> do?,,my_string.charAt(4)my_string[4] ~~ little unpredictable,,https://www.google.com/search?q=What are the two methods for extracting characters from a string?,,,
598,Arrays & Strings,What does  <code>What's the easiest way to reverse an array?</code> do?,,my_array.reverse( )-- Note: this alters actual array,,https://www.google.com/search?q=What's the easiest way to reverse an array?,,,
599,Arrays & Strings,What does  <code>How would you generate an array with the square root of all the values in the original array?</code> do?,,numbers.map(Math.sqrt),,https://www.google.com/search?q=How would you generate an array with the square root of all the values in the original array?,,,
600,Arrays & Strings,What does  <code>How would you turn a string into an array?</code> do?,,my_string.split('')ORArray.from(my_string),,https://www.google.com/search?q=How would you turn a string into an array?,,,
601,Strings,What does  <code>charAt()</code> do?,,Returns the character at the specified index (position),,https://www.google.com/search?q=charAt(),,,
602,Strings,What does  <code>charCodeAt()</code> do?,,Returns the Unicode of the character at the specified index,,https://www.google.com/search?q=charCodeAt(),,,
603,Strings,What does  <code>concat()</code> do?,,"Joins two or more strings, and returns a new joined strings",,https://www.google.com/search?q=concat(),,,
604,Strings,What does  <code>endsWith()</code> do?,,Checks whether a string ends with specified string/characters,,https://www.google.com/search?q=endsWith(),,,
605,Strings,What does  <code>fromCharCode()</code> do?,,Converts Unicode values to characters,,https://www.google.com/search?q=fromCharCode(),,,
606,Strings,What does  <code>includes()</code> do?,,Checks whether a string contains the specified string/characters,,https://www.google.com/search?q=includes(),,,
607,Strings,What does  <code>indexOf()</code> do?,,Returns the position of the first found occurrence of a specified value in a string,,https://www.google.com/search?q=indexOf(),,,
608,Strings,What does  <code>lastIndexOf()</code> do?,,Returns the position of the last found occurrence of a specified value in a string,,https://www.google.com/search?q=lastIndexOf(),,,
609,Strings,What does  <code>localeCompare()</code> do?,,Compares two strings in the current locale,,https://www.google.com/search?q=localeCompare(),,,
610,Strings,What does  <code>match()</code> do?,,"Searches a string for a match against a regular expression, and returns the matches",,https://www.google.com/search?q=match(),,,
611,Strings,What does  <code>repeat()</code> do?,,Returns a new string with a specified number of copies of an existing string,,https://www.google.com/search?q=repeat(),,,
612,Strings,What does  <code>replace()</code> do?,,"Searches a string for a specified value, or a regular expression, and returns a new string where the specified values are replaced",,https://www.google.com/search?q=replace(),,,
613,Strings,What does  <code>search()</code> do?,,"Searches a string for a specified value, or regular expression, and returns the position of the match",,https://www.google.com/search?q=search(),,,
614,Strings,What does  <code>slice()</code> do?,,Extracts a part of a string and returns a new string,,https://www.google.com/search?q=slice(),,,
615,Strings,What does  <code>split()</code> do?,,Splits a string into an array of substrings,,https://www.google.com/search?q=split(),,,
616,Strings,What does  <code>startsWith()</code> do?,,Checks whether a string begins with specified characters,,https://www.google.com/search?q=startsWith(),,,
617,Strings,What does  <code>substr()</code> do?,,"Extracts the characters from a string, beginning at a specified start position, and through the specified number of character",,https://www.google.com/search?q=substr(),,,
618,Strings,What does  <code>toLocaleLowerCase()</code> do?,,"Converts a string to lowercase letters, according to the host's locale",,https://www.google.com/search?q=toLocaleLowerCase(),,,
619,Strings,What does  <code>toLocaleUpperCase()</code> do?,,"Converts a string to uppercase letters, according to the host's locale",,https://www.google.com/search?q=toLocaleUpperCase(),,,
620,Strings,What does <code>.toLowerCase()</code> do?,,<code>.toLowerCase()</code> converts a string to lowercase letters.,"const sentence = 'The quick brown fox jumps over the lazy dog.'; | 
 | 
console.log(sentence.toLowerCase()); | 
// Expected output: ""the quick brown fox jumps over the lazy dog.""",https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/toLowerCase,,,
621,Strings,What does  <code>toString()</code> do?,,Returns the value of a String object,,https://www.google.com/search?q=toString(),,,
622,Strings,What does  <code>toUpperCase()</code> do?,,Converts a string to uppercase letters,,https://www.google.com/search?q=toUpperCase(),,,
623,Strings,What does  <code>trim()</code> do?,,Removes whitespace from both ends of a string,,https://www.google.com/search?q=trim(),,,
624,Strings,What does  <code>valueOf()</code> do?,,Returns the primitive value of a String object,,https://www.google.com/search?q=valueOf(),,,
625,Array Methods,What does  <code>concat()</code> do?,,"Syntax: array1.concat(array2, array3, ...)
ex: var hege = [""Cecilie"", ""Lone""];
var stale = [""Emil"", ""Tobias"", ""Linus""];
var children = hege.concat(stale);
//Cecilie,Lone,Emil,Tobias,Linus is the value of childrens array
This method is used to join two or more arrays.
The method does not change the existing arrya, but returns a new array, containing the values of the joined arrays.",,https://www.google.com/search?q=concat(),,,
626,Array Methods,What does  <code>copyWithin()</code> do?,,"Syntax: array.copyWithin(target, start, end)
target: the index position to copy the elements to
start: the index position to start copying elements to
end: the index position to stop copying elements from(default is array.length)
var fruits = [""Banana"", ""Orange"", ""Apple"", ""Mango"", ""Kiwi"", ""Papaya""];
fruits.copyWithin(2,0,2);
The method is used to copy array elements within the array, to and from specified positions.
// Banana,Orange,Banana,Orange,Kiwi,Papaya
Returns the modified Array. Modifies the existing the array.",,https://www.google.com/search?q=copyWithin(),,,
627,Array Methods,What does  <code>every()</code> do?,,"syntax: array.every(callback function, thisValue)The every method checks if all elements in an array pass a test. Returns a boolean value. Does not modify the original array.EX: function isBigEnough(element, index, array) {return element >= 10;}[12, 5, 8, 130, 44].every(isBigEnough); // false[12, 54, 18, 130, 44].every(isBigEnough); // true
fill()
Syntax: array.fill(value, start, end)
Fills array with static value
value: the value to fill the array with
start: the index to start filling the array
end: the index to stop filling the array
EX:var fruits = [""Banana"", ""Orange"", ""Apple"", ""Mango""];
fruits.fill(""Kiwi"");
returns the modified array [Kiwi, Kiwi, Kiwi, Kiwi]
This method modifies the original array",,https://www.google.com/search?q=every(),,,
